system,question,expected,answer,retrieved,precision,recall,f1,hit_at_1,hit_at_3,hit_at_5,retrieval_recall_at_5
bm25,Which scholarships are available to Mongolian students?,Australia Awards; Chinese Government Scholarship; Swiss Government Excellence Scholarships; Türkiye Scholarships; Stipendium Hungaricum; Global Korea Scholarship; Fulbright U.S. Student Program; Erasmus Mundus Joint Master Degrees; Chevening Scholarship; MEXT Scholarship,Australia Awards; Chevening Scholarship; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Government of Ireland International Education Scholarship; Swedish Institute Scholarships; Türkiye Scholarships; United Nations Fellowships; Vanier Canada Graduate Scholarships,Erasmus Mundus Joint Master Degrees; Vanier Canada Graduate Scholarships; United Nations Fellowships; Swedish Institute Scholarships; Boren Awards; Swiss Government Excellence Scholarships; DAAD Scholarships; Australia Awards; Government of Ireland International Education Scholarship; Fulbright U.S. Student Program; Benjamin A. Gilman International Scholarship; Türkiye Scholarships; Commonwealth Scholarship and Fellowship Plan; Chevening Scholarship; Marshall Scholarship,0.4444444444444444,0.4,0.4210526315789474,1,1,1,0.1
bm25,Which scholarships can Mongolian students apply to in Japan?,JICA Scholarships; MEXT Scholarship; Asian Development Bank–Japan Scholarship Program,JICA Scholarships; Japan-IMF Scholarship Program for Asia; MEXT Scholarship,MEXT Scholarship; Japan-IMF Scholarship Program for Asia; Asian Development Bank–Japan Scholarship Program; JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,1,1.0
bm25,Which scholarships can Mongolian students apply to in the UK?,Rhodes Scholarship; Chevening Scholarship; Gates Cambridge Scholarship,Chevening Scholarship; Gates Cambridge Scholarship,Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; Marshall Scholarship; Churchill Scholarship; Gates Cambridge Scholarship,1.0,0.6666666666666666,0.8,1,1,1,0.6666666666666666
bm25,Which scholarships can Mongolian students apply to in Australia?,Australia Awards,Australia Awards,Australia Awards; Swedish Institute Scholarships; MEXT Scholarship; Global Korea Scholarship; Vanier Canada Graduate Scholarships,1.0,1.0,1.0,1,1,1,1.0
bm25,Which scholarships can Mongolian students apply to in South Korea?,Global Korea Scholarship,Global Korea Scholarship,Global Korea Scholarship; MEXT Scholarship; Türkiye Scholarships; Schwarzman Scholars; Chinese Government Scholarship,1.0,1.0,1.0,1,1,1,1.0
bm25,Which scholarships are available in Germany for Mongolian students?,DAAD Scholarships,DAAD Scholarships,DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; Eiffel Excellence Scholarship Program; Stipendium Hungaricum; United Nations Fellowships; Swedish Institute Scholarships; Vanier Canada Graduate Scholarships; Government of Ireland International Education Scholarship; George J. Mitchell Scholarship; AAUW International Fellowships; Boren Awards; Chevening Scholarship; Australia Awards; Marshall Scholarship,1.0,1.0,1.0,1,1,1,1.0
bm25,Which scholarships are available in Hungary for Mongolian students?,Stipendium Hungaricum,Stipendium Hungaricum,Stipendium Hungaricum; Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; DAAD Scholarships; Eiffel Excellence Scholarship Program; United Nations Fellowships; Swedish Institute Scholarships; Vanier Canada Graduate Scholarships; Government of Ireland International Education Scholarship; George J. Mitchell Scholarship; AAUW International Fellowships; Boren Awards; Chevening Scholarship; Australia Awards; Marshall Scholarship,1.0,1.0,1.0,1,1,1,1.0
bm25,Which scholarships are available in France for Mongolian students?,Eiffel Excellence Scholarship Program,Eiffel Excellence Scholarship Program,Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; Vanier Canada Graduate Scholarships; DAAD Scholarships; Stipendium Hungaricum; United Nations Fellowships; Swedish Institute Scholarships; Government of Ireland International Education Scholarship; George J. Mitchell Scholarship; AAUW International Fellowships; Boren Awards; Chevening Scholarship; Australia Awards; Marshall Scholarship,1.0,1.0,1.0,1,1,1,1.0
bm25,Which scholarships are available in Switzerland for Mongolian students?,Swiss Government Excellence Scholarships,Swiss Government Excellence Scholarships,Swiss Government Excellence Scholarships; Erasmus Mundus Joint Master Degrees; DAAD Scholarships; Eiffel Excellence Scholarship Program; Stipendium Hungaricum; United Nations Fellowships; Swedish Institute Scholarships; Vanier Canada Graduate Scholarships; Government of Ireland International Education Scholarship; George J. Mitchell Scholarship; AAUW International Fellowships; Boren Awards; Chevening Scholarship; Australia Awards; Marshall Scholarship,1.0,1.0,1.0,1,1,1,1.0
bm25,Which scholarships are available in Turkey for Mongolian students?,Türkiye Scholarships,Türkiye Scholarships,Türkiye Scholarships; JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Japan-IMF Scholarship Program for Asia; Schwarzman Scholars; Chinese Government Scholarship; MEXT Scholarship; Asian Development Bank–Japan Scholarship Program; Global Korea Scholarship; ADB Internship Program; Erasmus Mundus Joint Master Degrees; United Nations Fellowships; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; Vanier Canada Graduate Scholarships,1.0,1.0,1.0,1,1,1,1.0
bm25,Which scholarships are fully funded for Mongolian students?,Australia Awards; Swiss Government Excellence Scholarships; Türkiye Scholarships; Stipendium Hungaricum; Global Korea Scholarship; Fulbright U.S. Student Program; Chevening Scholarship; MEXT Scholarship,Chevening Scholarship,Chevening Scholarship; ADB Internship Program; Google Generation Scholarship; United Nations Fellowships; Boren Awards,1.0,0.125,0.2222222222222222,1,1,1,0.125
bm25,Which scholarships require English proficiency for Mongolian students?,Australia Awards; Rhodes Scholarship; Fulbright U.S. Student Program; Gates Cambridge Scholarship; Chevening Scholarship,AAUW International Fellowships; Government of Ireland International Education Scholarship; Swedish Institute Scholarships; United Nations Fellowships,United Nations Fellowships; Swedish Institute Scholarships; Government of Ireland International Education Scholarship; Australia Awards; Commonwealth Scholarship and Fellowship Plan,0.0,0.0,0.0,0,0,1,0.2
bm25,Which scholarships are master's programs for Mongolian students?,Australia Awards; Rhodes Scholarship; Gates Cambridge Scholarship; Erasmus Mundus Joint Master Degrees; Chevening Scholarship,DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships,Erasmus Mundus Joint Master Degrees; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships; Swiss Government Excellence Scholarships; DAAD Scholarships,0.25,0.2,0.22222222222222224,1,1,1,0.2
bm25,Which scholarships are PhD programs available to Mongolian students?,DAAD Scholarships; Vanier Canada Graduate Scholarships; Gates Cambridge Scholarship,Chinese Government Scholarship; DAAD Scholarships; Gates Cambridge Scholarship; Global Korea Scholarship; JICA Scholarships; Knight-Hennessy Scholars; MEXT Scholarship; Swiss Government Excellence Scholarships; Türkiye Scholarships; Vanier Canada Graduate Scholarships,Vanier Canada Graduate Scholarships; Swiss Government Excellence Scholarships; DAAD Scholarships; Eiffel Excellence Scholarship Program; Government of Ireland International Education Scholarship; Türkiye Scholarships; Commonwealth Scholarship and Fellowship Plan; JICA Scholarships; Chinese Government Scholarship; NSF Graduate Research Fellowship Program; MEXT Scholarship; Gates Cambridge Scholarship; Stipendium Hungaricum; Global Korea Scholarship; Knight-Hennessy Scholars,0.3,1.0,0.4615384615384615,1,1,1,0.6666666666666666
bm25,Which scholarships are in Asia and available to Mongolian students?,Global Korea Scholarship; Chinese Government Scholarship; MEXT Scholarship; Türkiye Scholarships,Asian Development Bank–Japan Scholarship Program; Chinese Government Scholarship; Global Korea Scholarship; JICA Scholarships; Japan-IMF Scholarship Program for Asia; MEXT Scholarship,Japan-IMF Scholarship Program for Asia; Asian Development Bank–Japan Scholarship Program; Google Generation Scholarship; JICA Scholarships; Joint Japan/World Bank Graduate Scholarship Program; Global Korea Scholarship; Schwarzman Scholars; Chinese Government Scholarship; MEXT Scholarship; Türkiye Scholarships; ADB Internship Program; Vanier Canada Graduate Scholarships; Erasmus Mundus Joint Master Degrees; United Nations Fellowships; Swedish Institute Scholarships,0.5,0.75,0.6,0,0,0,0.0
bm25,Which scholarships are offered in Europe to Mongolian students?,DAAD Scholarships; Swedish Institute Scholarships; Erasmus Mundus Joint Master Degrees; Chevening Scholarship; Stipendium Hungaricum; Eiffel Excellence Scholarship Program,DAAD Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; Stipendium Hungaricum; Swiss Government Excellence Scholarships,Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; DAAD Scholarships; Eiffel Excellence Scholarship Program; Stipendium Hungaricum,0.8,0.6666666666666666,0.7272727272727272,1,1,1,0.6666666666666666
bm25,Which scholarships are funded by governments and open to Mongolian students?,Australia Awards; Chinese Government Scholarship; Global Korea Scholarship; Fulbright U.S. Student Program; Chevening Scholarship; MEXT Scholarship,Chevening Scholarship; Swedish Institute Scholarships; Türkiye Scholarships,United Nations Fellowships; Chevening Scholarship; Vanier Canada Graduate Scholarships; Swedish Institute Scholarships; Erasmus Mundus Joint Master Degrees,0.3333333333333333,0.16666666666666666,0.2222222222222222,0,1,1,0.16666666666666666
bm25,Which scholarships support development or public policy for Mongolian students?,Joint Japan/World Bank Graduate Scholarship Program; Australia Awards; Asian Development Bank–Japan Scholarship Program,Chevening Scholarship; DAAD Scholarships; JICA Scholarships,JICA Scholarships; Swedish Institute Scholarships; Chevening Scholarship; Swiss Government Excellence Scholarships; DAAD Scholarships,0.0,0.0,0.0,0,0,0,0.0
bm25,Which scholarships include leadership programs for Mongolian students?,Chevening Scholarship; Rotary Peace Fellowship; Schwarzman Scholars; Knight-Hennessy Scholars,Chevening Scholarship; Türkiye Scholarships,United Nations Fellowships; Erasmus Mundus Joint Master Degrees; Boren Awards; Chevening Scholarship; Türkiye Scholarships,0.5,0.25,0.3333333333333333,0,0,1,0.25
bm25,Which scholarships are university-based and open to Mongolian students?,Gates Cambridge Scholarship; Schwarzman Scholars; Knight-Hennessy Scholars,NONE,United Nations Fellowships; Swedish Institute Scholarships; Vanier Canada Graduate Scholarships; DAAD Scholarships; Erasmus Mundus Joint Master Degrees,0.0,0.0,0.0,0,0,0,0.0
bm25,Which scholarships do not require Japanese language for Mongolian students?,MEXT Scholarship,JICA Scholarships; Japan-IMF Scholarship Program for Asia,MEXT Scholarship; Japan-IMF Scholarship Program for Asia; JICA Scholarships; Fulbright U.S. Student Program; Boren Awards,0.0,0.0,0.0,1,1,1,1.0
bm25,Which scholarships are partially funded for Mongolian students?,AAUW International Fellowships; Google Generation Scholarship,AAUW International Fellowships; Eiffel Excellence Scholarship Program; Government of Ireland International Education Scholarship,Boren Awards; Eiffel Excellence Scholarship Program; Government of Ireland International Education Scholarship; Benjamin A. Gilman International Scholarship; AAUW International Fellowships,0.3333333333333333,0.5,0.4,0,0,1,0.5
bm25,Which scholarships are international joint programs for Mongolian students?,Erasmus Mundus Joint Master Degrees,Erasmus Mundus Joint Master Degrees; Joint Japan/World Bank Graduate Scholarship Program; Swedish Institute Scholarships,Joint Japan/World Bank Graduate Scholarship Program; Erasmus Mundus Joint Master Degrees; United Nations Fellowships; Swedish Institute Scholarships; Boren Awards,0.3333333333333333,1.0,0.5,0,1,1,1.0
bm25,Which scholarships are short-term or fellowship programs for Mongolian students?,United Nations Fellowships; Rotary Peace Fellowship,AAUW International Fellowships; Joint Japan/World Bank Graduate Scholarship Program; United Nations Fellowships,United Nations Fellowships; Boren Awards; AAUW International Fellowships; NSF Graduate Research Fellowship Program; Joint Japan/World Bank Graduate Scholarship Program,0.3333333333333333,0.5,0.4,1,1,1,0.5
bm25,Which scholarships focus on research degrees for Mongolian students?,DAAD Scholarships; Vanier Canada Graduate Scholarships,DAAD Scholarships; Swiss Government Excellence Scholarships; Türkiye Scholarships,DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Swiss Government Excellence Scholarships; Türkiye Scholarships; Commonwealth Scholarship and Fellowship Plan,0.3333333333333333,0.5,0.4,1,1,1,0.5
bm25,Which fully funded master's scholarships are available to Mongolian students in the UK?,Rhodes Scholarship; Chevening Scholarship; Gates Cambridge Scholarship,Asian Development Bank–Japan Scholarship Program; Chevening Scholarship; Gates Cambridge Scholarship,Chevening Scholarship; Marshall Scholarship; Churchill Scholarship; Commonwealth Scholarship and Fellowship Plan; Google Generation Scholarship; ADB Internship Program; Gates Cambridge Scholarship; Rhodes Scholarship; Erasmus Mundus Joint Master Degrees; Asian Development Bank–Japan Scholarship Program; Government of Ireland International Education Scholarship; DAAD Scholarships; Vanier Canada Graduate Scholarships; AAUW International Fellowships; Boren Awards,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,1,1,0.3333333333333333
