system,question,expected,answer,precision,recall,f1,false_positives,false_negatives,unsupported_hallucination,wrong_answer,error_type
baseline_no_retrieval_label_selection,Which scholarships are available to Mongolian students?,Australia Awards; Chevening Scholarship; Chinese Government Scholarship; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Türkiye Scholarships,NONE,0.0,0.0,0.0,,Australia Awards; Chevening Scholarship; Chinese Government Scholarship; Erasmus Mundus Joint Master Degrees; Fulbright U.S. Student Program; Global Korea Scholarship; MEXT Scholarship; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Türkiye Scholarships,0,1,empty_answer
baseline_no_retrieval_label_selection,Which scholarships can Mongolian students apply to in Japan?,Asian Development Bank–Japan Scholarship Program; JICA Scholarships; MEXT Scholarship,JICA Scholarships; Japan-IMF Scholarship Program for Asia; MEXT Scholarship,0.6666666666666666,0.6666666666666666,0.6666666666666666,Japan-IMF Scholarship Program for Asia,Asian Development Bank–Japan Scholarship Program,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships can Mongolian students apply to in the UK?,Chevening Scholarship; Gates Cambridge Scholarship; Rhodes Scholarship,Chevening Scholarship; Commonwealth Scholarship and Fellowship Plan; Marshall Scholarship; Rhodes Scholarship,0.5,0.6666666666666666,0.5714285714285715,Commonwealth Scholarship and Fellowship Plan; Marshall Scholarship,Gates Cambridge Scholarship,1,1,retrieval_miss
baseline_no_retrieval_label_selection,Which scholarships can Mongolian students apply to in Australia?,Australia Awards,Australia Awards,1.0,1.0,1.0,,,0,0,correct
baseline_no_retrieval_label_selection,Which scholarships can Mongolian students apply to in South Korea?,Global Korea Scholarship,Global Korea Scholarship,1.0,1.0,1.0,,,0,0,correct
baseline_no_retrieval_label_selection,Which scholarships are available in Germany for Mongolian students?,DAAD Scholarships,DAAD Scholarships; Erasmus Mundus Joint Master Degrees; German Government Scholarships; Stipendium Hungaricum,0.25,1.0,0.4,Erasmus Mundus Joint Master Degrees; German Government Scholarships; Stipendium Hungaricum,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are available in Hungary for Mongolian students?,Stipendium Hungaricum,DAAD Scholarships; Erasmus Mundus Joint Master Degrees; Stipendium Hungaricum,0.3333333333333333,1.0,0.5,DAAD Scholarships; Erasmus Mundus Joint Master Degrees,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are available in France for Mongolian students?,Eiffel Excellence Scholarship Program,AAUW International Fellowships; ADB Internship Program; Asian Development Bank–Japan Scholarship Program; Australia Awards; Benjamin A. Gilman International Scholarship; Boren Awards; Chevening Scholarship; Chinese Government Scholarship; Churchill Scholarship; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Eiffel Excellence Scholarship Program; Erasmus Mundus Joint Master Degrees; French Government Scholarships; Fulbright U.S. Student Program; Gates Cambridge Scholarship; George J. Mitchell Scholarship; Global Korea Scholarship; Google Generation Scholarship; Government of Ireland International Education Scholarship; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; Knight-Hennessy Scholars; MEXT Scholarship; Marshall Scholarship; Mastercard Foundation Scholars Program; NSF Graduate Research Fellowship Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Rotary Peace Fellowship; Schwarzman Scholars; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Türkiye Scholarships; United Nations Fellowships; Vanier Canada Graduate Scholarships,0.02631578947368421,1.0,0.05128205128205127,AAUW International Fellowships; ADB Internship Program; Asian Development Bank–Japan Scholarship Program; Australia Awards; Benjamin A. Gilman International Scholarship; Boren Awards; Chevening Scholarship; Chinese Government Scholarship; Churchill Scholarship; Commonwealth Scholarship and Fellowship Plan; DAAD Scholarships; Erasmus Mundus Joint Master Degrees; French Government Scholarships; Fulbright U.S. Student Program; Gates Cambridge Scholarship; George J. Mitchell Scholarship; Global Korea Scholarship; Google Generation Scholarship; Government of Ireland International Education Scholarship; JICA Scholarships; Japan-IMF Scholarship Program for Asia; Joint Japan/World Bank Graduate Scholarship Program; Knight-Hennessy Scholars; MEXT Scholarship; Marshall Scholarship; Mastercard Foundation Scholars Program; NSF Graduate Research Fellowship Program; New Zealand Scholarships; Orange Knowledge Programme; Rhodes Scholarship; Rotary Peace Fellowship; Schwarzman Scholars; Stipendium Hungaricum; Swiss Government Excellence Scholarships; Türkiye Scholarships; United Nations Fellowships; Vanier Canada Graduate Scholarships,,1,1,over_selection
baseline_no_retrieval_label_selection,Which scholarships are available in Switzerland for Mongolian students?,Swiss Government Excellence Scholarships,Swiss Government Excellence Scholarships,1.0,1.0,1.0,,,0,0,correct
baseline_no_retrieval_label_selection,Which scholarships are available in Turkey for Mongolian students?,Türkiye Scholarships,Türkiye Scholarships,1.0,1.0,1.0,,,0,0,correct
